openmlid,seed,rf_oob,rf_test,lda_oob,lda_test,pca_oob,pca_test,choice,best_choice_oob,best_choice_test,gap,imp,traintime_rf_act,traintime_lda_act,traintime_pca_act,traintime_rf_max,traintime_lda_max,traintime_pca_max,trees_rf,trees_lda,trees_pca,selfopt_oob,selfopt_test,gap_oob,gap_test,imp_oob,imp_test,traintime_total_act,traintime_total_max,time_compression,tree_compression
3,0,0.9742,0.9703,0.9752,0.9733,0.9737,0.9734,lda,lda,pca,9.999999999998899e-05,0.003,25.0202,17.6276,58.5112,39.32270000000001,24.3636,112.84270000000004,64,72,51,0.9752,0.9733,0.0,9.999999999998899e-05,0.0010000000000000009,0.0030000000000000027,101.159,176.52900000000005,0.5730446555523454,0.6233333333333333
3,1,0.9777,0.9695,0.9825,0.9789,0.98,0.9745,lda,lda,lda,0.0,0.009,15.2709,12.884000000000002,38.86,41.184999999999974,25.139500000000005,111.7075,38,48,36,0.9825,0.9789,0.0,0.0,0.0048000000000000265,0.009399999999999964,67.0149,178.03199999999998,0.37642053114046914,0.4066666666666667
3,2,0.973,0.9683,0.9805,0.9711,0.9765,0.9708,pca,lda,lda,0.00029999999999996696,0.002,8.281600000000001,26.375,111.09310000000002,44.1613,30.1696,124.0816,19,86,91,0.9765,0.9708,0.0040000000000000036,0.00029999999999996696,0.0035000000000000586,0.0024999999999999467,145.74970000000002,198.4125,0.7345792225792227,0.6533333333333333
3,3,0.979,0.9716,0.9717,0.9702,0.9662,0.9654,lda,rf,rf,0.0014000000000000679,-0.001,13.5014,22.610600000000005,104.43750000000004,39.31319999999997,23.99830000000001,110.13940000000004,34,95,95,0.9717,0.9702,0.007299999999999973,0.0014000000000000679,-0.007299999999999973,-0.0014000000000000679,140.54950000000005,173.45090000000002,0.8103128896996212,0.7466666666666667
3,4,0.972,0.9718,0.977,0.9745,0.9662,0.9677,pca,lda,lda,0.006800000000000028,-0.004,9.6299,7.098,33.1878,38.435,23.7237,110.5282,25,31,34,0.9662,0.9677,0.010800000000000032,0.006800000000000028,-0.005800000000000027,-0.0040999999999999925,49.9157,172.6869,0.28905319395970397,0.3
3,5,0.979,0.9725,0.9825,0.9774,0.98,0.9713,lda,lda,lda,0.0,0.005,17.149200000000004,11.991299999999995,46.65289999999999,39.9096,23.9372,106.80050000000004,44,51,46,0.9825,0.9774,0.0,0.0,0.0035000000000000586,0.0049000000000000155,75.79339999999999,170.64730000000003,0.4441523540073589,0.47
3,6,0.9705,0.9694,0.978,0.9777,0.9712,0.9695,lda,lda,lda,0.0,0.008,10.4549,9.4601,30.492,39.775700000000015,23.81790000000001,107.19029999999998,26,41,32,0.978,0.9777,0.0,0.0,0.007499999999999951,0.008299999999999974,50.407,170.78390000000002,0.29515077240887455,0.33
3,7,0.9725,0.9761,0.9777,0.9753,0.9672,0.9676,lda,lda,rf,0.0008000000000000229,-0.001,16.676500000000004,10.437000000000001,19.8414,40.2212,24.47510000000001,108.94119999999997,41,44,20,0.9777,0.9753,0.0,0.0008000000000000229,0.005199999999999982,-0.0008000000000000229,46.95490000000001,173.6375,0.2704191202937154,0.35
3,8,0.974,0.9729,0.972,0.9781,0.9665,0.9714,lda,rf,lda,0.0,0.005,8.8418,13.749299999999995,23.0793,39.52090000000001,23.6692,111.49160000000002,22,58,22,0.972,0.9781,0.0020000000000000018,0.0,-0.0020000000000000018,0.005199999999999982,45.670399999999994,174.68170000000003,0.26144925312725936,0.34
3,9,0.976,0.9735,0.9717,0.9793,0.9722,0.9729,lda,rf,lda,0.0,0.006,9.758299999999998,24.62320000000001,114.95090000000002,41.1097,24.62320000000001,114.95090000000002,24,100,100,0.9717,0.9793,0.0042999999999999705,0.0,-0.0042999999999999705,0.005799999999999916,149.33240000000004,180.68380000000002,0.8264847208216787,0.7466666666666667
3,10,0.9787,0.9747,0.9812,0.9774,0.9785,0.9706,pca,lda,lda,0.006800000000000028,-0.004,7.962600000000001,7.924699999999998,50.17150000000001,38.79690000000002,24.4397,109.76799999999999,20,30,48,0.9785,0.9706,0.0026999999999999247,0.006800000000000028,-0.00019999999999997797,-0.0040999999999999925,66.0588,173.0046,0.3818326217915593,0.32666666666666666
3,11,0.9732,0.9696,0.9812,0.9735,0.9777,0.9694,lda,lda,lda,0.0,0.004,16.960200000000004,11.152000000000001,31.5956,47.57009999999999,30.21440000000001,128.0315,34,37,24,0.9812,0.9735,0.0,0.0,0.008000000000000007,0.0039000000000000146,59.707800000000006,205.81599999999997,0.2901028102771408,0.31666666666666665
3,12,0.972,0.9724,0.9675,0.967,0.9722,0.9713,pca,pca,rf,0.0010999999999999899,-0.001,18.4515,7.8122,58.57299999999999,46.824100000000016,25.560599999999994,125.89079999999998,40,29,48,0.9722,0.9713,0.0,0.0010999999999999899,0.00019999999999997797,-0.0010999999999999899,84.8367,198.2755,0.42787283350691335,0.39
3,13,0.9732,0.9713,0.975,0.9765,0.9755,0.977,pca,pca,pca,0.0,0.006,8.7928,5.4315000000000015,61.46590000000001,40.22640000000001,23.51500000000001,115.6575,23,22,53,0.9755,0.977,0.0,0.0,0.0023000000000000798,0.005699999999999927,75.69020000000002,179.39890000000003,0.4219100563046931,0.32666666666666666
3,14,0.98,0.9731,0.978,0.9756,0.9747,0.9663,rf,rf,lda,0.0025000000000000577,0.0,19.004300000000004,8.6072,35.1646,48.79020000000001,28.278500000000005,129.54940000000002,39,30,26,0.98,0.9731,0.0,0.0025000000000000577,0.0,0.0,62.77610000000001,206.61810000000003,0.3038267218602823,0.31666666666666665
3,15,0.9775,0.9716,0.981,0.9765,0.9752,0.9697,pca,lda,lda,0.006800000000000028,-0.002,11.2431,7.8098,65.3841,41.4539,26.066500000000005,116.06909999999996,28,29,55,0.9752,0.9697,0.005800000000000027,0.006800000000000028,-0.0023000000000000798,-0.0019000000000000128,84.43700000000001,183.58949999999996,0.4599228169366986,0.37333333333333335
3,16,0.9795,0.9692,0.979,0.9731,0.9672,0.9646,pca,rf,lda,0.008499999999999952,-0.005,8.1538,5.382500000000001,54.00190000000002,39.2377,23.5173,110.48510000000002,21,23,50,0.9672,0.9646,0.012300000000000089,0.008499999999999952,-0.012300000000000089,-0.0045999999999999375,67.53820000000002,173.2401,0.3898531575541691,0.31333333333333335
3,17,0.9602,0.9721,0.9597,0.9768,0.9584,0.9714,pca,rf,lda,0.00539999999999996,-0.001,8.896999999999998,9.5412,73.03240000000002,42.0123,26.5461,126.78730000000004,22,32,58,0.9584,0.9714,0.0018000000000000238,0.00539999999999996,-0.0018000000000000238,-0.0006999999999999229,91.47060000000002,195.34570000000005,0.4682498770129058,0.37333333333333335
3,18,0.9765,0.9732,0.976,0.9745,0.97,0.9716,lda,rf,lda,0.0,0.001,14.727500000000004,13.1431,31.89879999999999,38.6613,23.76809999999999,107.2711,37,54,28,0.976,0.9745,0.000500000000000056,0.0,-0.000500000000000056,0.0013000000000000789,59.76939999999999,169.70049999999998,0.3522052085880713,0.39666666666666667
3,19,0.9735,0.9772,0.9762,0.9764,0.9727,0.9701,lda,lda,rf,0.0007999999999999119,-0.001,9.2567,13.581899999999996,57.97769999999999,44.16849999999999,26.437100000000008,127.96280000000002,21,53,44,0.9762,0.9764,0.0,0.0007999999999999119,0.0026999999999999247,-0.0007999999999999119,80.81629999999998,198.5684,0.40699476855330446,0.3933333333333333
6,0,0.941,0.94,0.9547,0.9501,0.9558,0.9499,pca,pca,lda,0.00019999999999997797,0.01,73.43710000000002,111.6794,4103.257099999999,300.6875,417.55319999999983,4103.257099999999,24,27,100,0.9558,0.9499,0.0,0.00019999999999997797,0.014800000000000035,0.00990000000000002,4288.373599999999,4821.497799999999,0.8894276795065632,0.5033333333333333
6,1,0.9471,0.94,0.9559,0.9505,0.9565,0.9521,pca,pca,pca,0.0,0.012,100.7707,140.21810000000002,4025.611399999999,314.23209999999995,436.9158999999999,4025.611399999999,32,32,100,0.9565,0.9521,0.0,0.0,0.009399999999999964,0.0121,4266.600199999999,4776.759399999999,0.8931997286696081,0.5466666666666666
6,2,0.9458,0.9405,0.9588,0.947,0.9618,0.9495,pca,pca,pca,0.0,0.009,89.91290000000002,77.31079999999999,3614.4753000000014,309.8242,431.3080000000003,4084.1823000000013,29,18,89,0.9618,0.9495,0.0,0.0,0.016000000000000014,0.009000000000000008,3781.6990000000014,4825.314500000001,0.7837207294985644,0.4533333333333333
6,3,0.9453,0.9421,0.9534,0.9509,0.9514,0.9505,pca,lda,lda,0.00039999999999995595,0.008,71.04549999999998,141.2167,4044.9638,336.13569999999993,489.7569,4044.9638,23,29,100,0.9514,0.9505,0.0020000000000000018,0.00039999999999995595,0.006099999999999994,0.008399999999999963,4257.226,4870.8564,0.8740200183277832,0.5066666666666667
6,4,0.9448,0.9402,0.957,0.9505,0.9574,0.9494,pca,pca,lda,0.0010999999999999899,0.009,74.202,225.9226,4092.8387999999986,320.59669999999994,432.45979999999986,4092.8387999999986,23,52,100,0.9574,0.9494,0.0,0.0010999999999999899,0.012600000000000056,0.009199999999999986,4392.963399999999,4845.895299999998,0.9065328753594821,0.5833333333333334
6,5,0.9452,0.9416,0.9556,0.9494,0.9569,0.9498,lda,pca,pca,0.00039999999999995595,0.008,56.83579999999999,423.97969999999987,1291.0727,320.3644000000001,450.9065,4118.442799999999,18,94,31,0.9556,0.9494,0.0012999999999999678,0.00039999999999995595,0.010399999999999965,0.007800000000000029,1771.8881999999999,4889.713699999999,0.3623705412445723,0.4766666666666667
