openmlid,seed,rf_oob,rf_test,lda_oob,lda_test,pca_oob,pca_test,choice,best_choice_oob,best_choice_test,gap,imp,traintime_rf_act,traintime_lda_act,traintime_pca_act,traintime_rf_max,traintime_lda_max,traintime_pca_max,trees_rf,trees_lda,trees_pca,selfopt_oob,selfopt_test,gap_oob,gap_test,imp_oob,imp_test,traintime_total_act,traintime_total_max,time_compression,tree_compression
3,0,0.9742,0.9703,0.9752,0.9733,0.9737,0.9734,pca,lda,pca,0.0,0.003,26.9228,24.3636,112.84270000000004,39.32270000000001,24.3636,112.84270000000004,69,100,100,0.9737,0.9734,0.0014999999999999458,0.0,-0.0004999999999999449,0.0030999999999999917,164.12910000000005,176.52900000000005,0.9297571503832232,0.8966666666666666
3,1,0.9777,0.9695,0.9825,0.9789,0.98,0.9745,lda,lda,lda,0.0,0.009,17.2044,12.884000000000002,60.95979999999999,41.184999999999974,25.139500000000005,111.7075,43,48,55,0.9825,0.9789,0.0,0.0,0.0048000000000000265,0.009399999999999964,91.04819999999998,178.03199999999998,0.5114148018333782,0.4866666666666667
3,2,0.973,0.9683,0.9805,0.9711,0.9765,0.9708,lda,lda,lda,0.0,0.003,17.8815,17.953799999999994,69.8898,44.1613,30.1696,124.0816,40,58,58,0.9805,0.9711,0.0,0.0,0.007500000000000062,0.0027999999999999137,105.72509999999998,198.4125,0.5328550368550368,0.52
3,3,0.979,0.9716,0.9717,0.9702,0.9662,0.9654,lda,rf,rf,0.0014000000000000679,-0.001,24.41899999999999,16.638299999999994,56.88410000000001,39.31319999999997,23.99830000000001,110.13940000000004,61,69,51,0.9717,0.9702,0.007299999999999973,0.0014000000000000679,-0.007299999999999973,-0.0014000000000000679,97.94139999999999,173.45090000000002,0.5646635445535306,0.6033333333333334
3,4,0.972,0.9718,0.977,0.9745,0.9662,0.9677,lda,lda,lda,0.0,0.003,16.637699999999995,11.575699999999998,52.8072,38.435,23.7237,110.5282,43,50,50,0.977,0.9745,0.0,0.0,0.0050000000000000044,0.0027000000000000357,81.0206,172.6869,0.4691762953646165,0.4766666666666667
3,5,0.979,0.9725,0.9825,0.9774,0.98,0.9713,lda,lda,lda,0.0,0.005,15.6652,11.991299999999995,51.84659999999998,39.9096,23.9372,106.80050000000004,40,51,51,0.9825,0.9774,0.0,0.0,0.0035000000000000586,0.0049000000000000155,79.50309999999998,170.64730000000003,0.4658913443107507,0.47333333333333333
3,6,0.9705,0.9694,0.978,0.9777,0.9712,0.9695,lda,lda,lda,0.0,0.008,34.3339,20.5799,92.7942,39.775700000000015,23.81790000000001,107.19029999999998,86,87,87,0.978,0.9777,0.0,0.0,0.007499999999999951,0.008299999999999974,147.708,170.78390000000002,0.8648824625740482,0.8666666666666667
3,7,0.9725,0.9761,0.9777,0.9753,0.9672,0.9676,lda,lda,rf,0.0008000000000000229,-0.001,29.2884,18.3723,52.98539999999999,40.2212,24.47510000000001,108.94119999999997,73,75,49,0.9777,0.9753,0.0,0.0008000000000000229,0.005199999999999982,-0.0008000000000000229,100.64609999999999,173.6375,0.5796334317183788,0.6566666666666666
3,8,0.974,0.9729,0.972,0.9781,0.9665,0.9714,lda,rf,lda,0.0,0.005,20.3413,13.749299999999995,67.95500000000001,39.52090000000001,23.6692,111.49160000000002,50,58,63,0.972,0.9781,0.0020000000000000018,0.0,-0.0020000000000000018,0.005199999999999982,102.04560000000001,174.68170000000003,0.5841802547147181,0.57
3,9,0.976,0.9735,0.9717,0.9793,0.9722,0.9729,lda,rf,lda,0.0,0.006,20.8151,24.62320000000001,114.95090000000002,41.1097,24.62320000000001,114.95090000000002,52,100,100,0.9717,0.9793,0.0042999999999999705,0.0,-0.0042999999999999705,0.005799999999999916,160.38920000000002,180.68380000000002,0.8876789175343888,0.84
3,10,0.9787,0.9747,0.9812,0.9774,0.9785,0.9706,lda,lda,lda,0.0,0.003,21.9172,15.134599999999995,50.17150000000001,38.79690000000002,24.4397,109.76799999999999,55,61,48,0.9812,0.9774,0.0,0.0,0.0024999999999999467,0.0027000000000000357,87.22330000000001,173.0046,0.504167519245153,0.5466666666666666
3,11,0.9732,0.9696,0.9812,0.9735,0.9777,0.9694,lda,lda,lda,0.0,0.004,20.619300000000006,17.435300000000005,64.65349999999998,47.57009999999999,30.21440000000001,128.0315,42,58,49,0.9812,0.9735,0.0,0.0,0.008000000000000007,0.0039000000000000146,102.70809999999999,205.81599999999997,0.49902874412096243,0.49666666666666665
3,12,0.972,0.9724,0.9675,0.967,0.9722,0.9713,pca,pca,rf,0.0010999999999999899,-0.001,17.3321,15.697299999999995,81.05019999999998,46.824100000000016,25.560599999999994,125.89079999999998,37,59,66,0.9722,0.9713,0.0,0.0010999999999999899,0.00019999999999997797,-0.0010999999999999899,114.07959999999997,198.2755,0.5753590332643215,0.54
3,13,0.9732,0.9713,0.975,0.9765,0.9755,0.977,lda,pca,pca,0.0004999999999999449,0.005,15.6997,13.471700000000006,61.46590000000001,40.22640000000001,23.51500000000001,115.6575,40,57,53,0.975,0.9765,0.000500000000000056,0.0004999999999999449,0.0018000000000000238,0.005199999999999982,90.63730000000001,179.39890000000003,0.5052277355100839,0.5
