openmlid,seed,rf_oob,rf_test,lda_oob,lda_test,pca_oob,pca_test,choice,best_choice_oob,best_choice_test,gap,imp,traintime_rf_act,traintime_lda_act,traintime_pca_act,traintime_rf_max,traintime_lda_max,traintime_pca_max,trees_rf,trees_lda,trees_pca,selfopt_oob,selfopt_test,gap_oob,gap_test,imp_oob,imp_test,traintime_total_act,traintime_total_max,time_compression,tree_compression
3,0,0.9742,0.9703,0.9752,0.9733,0.9737,0.9734,pca,lda,pca,0.0,0.003,11.8552,9.062800000000003,60.58579999999999,39.32270000000001,24.3636,112.84270000000004,31,36,53,0.9737,0.9734,0.0014999999999999458,0.0,-0.0004999999999999449,0.0030999999999999917,81.5038,176.52900000000005,0.4617020432903374,0.4
3,1,0.9777,0.9695,0.9825,0.9789,0.98,0.9745,lda,lda,lda,0.0,0.009,16.544,12.884000000000002,35.6882,41.184999999999974,25.139500000000005,111.7075,41,48,33,0.9825,0.9789,0.0,0.0,0.0048000000000000265,0.009399999999999964,65.1162,178.03199999999998,0.3657555944998653,0.4066666666666667
3,2,0.973,0.9683,0.9805,0.9711,0.9765,0.9708,rf,lda,lda,0.0027999999999999137,0.0,17.8815,12.422299999999998,51.4169,44.1613,30.1696,124.0816,40,39,40,0.973,0.9683,0.007500000000000062,0.0027999999999999137,0.0,0.0,81.7207,198.4125,0.41187273987273987,0.39666666666666667
3,3,0.979,0.9716,0.9717,0.9702,0.9662,0.9654,rf,rf,rf,0.0,0.0,24.41899999999999,7.692800000000001,40.474500000000006,39.31319999999997,23.99830000000001,110.13940000000004,61,36,36,0.979,0.9716,0.0,0.0,0.0,0.0,72.5863,173.45090000000002,0.4184832710582648,0.44333333333333336
3,4,0.972,0.9718,0.977,0.9745,0.9662,0.9677,lda,lda,lda,0.0,0.003,12.8776,11.575699999999998,29.5418,38.435,23.7237,110.5282,34,50,31,0.977,0.9745,0.0,0.0,0.0050000000000000044,0.0027000000000000357,53.995099999999994,172.6869,0.3126762944959924,0.38333333333333336
3,5,0.979,0.9725,0.9825,0.9774,0.98,0.9713,lda,lda,lda,0.0,0.005,14.4412,11.991299999999995,36.34999999999999,39.9096,23.9372,106.80050000000004,37,51,37,0.9825,0.9774,0.0,0.0,0.0035000000000000586,0.0049000000000000155,62.782499999999985,170.64730000000003,0.36790795986810204,0.4166666666666667
3,6,0.9705,0.9694,0.978,0.9777,0.9712,0.9695,lda,lda,lda,0.0,0.008,14.052899999999998,9.4601,29.085,39.775700000000015,23.81790000000001,107.19029999999998,35,41,31,0.978,0.9777,0.0,0.0,0.007499999999999951,0.008299999999999974,52.598,170.78390000000002,0.30797985055968385,0.3566666666666667
3,7,0.9725,0.9761,0.9777,0.9753,0.9672,0.9676,lda,lda,rf,0.0008000000000000229,-0.001,13.772900000000002,10.437000000000001,36.8123,40.2212,24.47510000000001,108.94119999999997,34,44,34,0.9777,0.9753,0.0,0.0008000000000000229,0.005199999999999982,-0.0008000000000000229,61.022200000000005,173.6375,0.35143445396299766,0.37333333333333335
3,8,0.974,0.9729,0.972,0.9781,0.9665,0.9714,rf,rf,lda,0.005199999999999982,0.0,20.3413,7.762,41.4243,39.52090000000001,23.6692,111.49160000000002,50,32,40,0.974,0.9729,0.0,0.005199999999999982,0.0,0.0,69.5276,174.68170000000003,0.39802452117193726,0.4066666666666667
3,9,0.976,0.9735,0.9717,0.9793,0.9722,0.9729,lda,rf,lda,0.0,0.006,13.5859,10.428900000000002,60.48510000000002,41.1097,24.62320000000001,114.95090000000002,34,40,51,0.9717,0.9793,0.0042999999999999705,0.0,-0.0042999999999999705,0.005799999999999916,84.49990000000003,180.68380000000002,0.4676672728822397,0.4166666666666667
3,10,0.9787,0.9747,0.9812,0.9774,0.9785,0.9706,rf,lda,lda,0.0027000000000000357,0.0,24.728,11.086399999999998,50.17150000000001,38.79690000000002,24.4397,109.76799999999999,62,42,48,0.9787,0.9747,0.0024999999999999467,0.0027000000000000357,0.0,0.0,85.98590000000002,173.0046,0.4970151082687975,0.5066666666666667
3,11,0.9732,0.9696,0.9812,0.9735,0.9777,0.9694,lda,lda,lda,0.0,0.004,18.420800000000007,11.152000000000001,47.5485,47.57009999999999,30.21440000000001,128.0315,37,37,37,0.9812,0.9735,0.0,0.0,0.008000000000000007,0.0039000000000000146,77.1213,205.81599999999997,0.37470993508765116,0.37
3,12,0.972,0.9724,0.9675,0.967,0.9722,0.9713,pca,pca,rf,0.0010999999999999899,-0.001,20.2657,10.476,58.57299999999999,46.824100000000016,25.560599999999994,125.89079999999998,44,40,48,0.9722,0.9713,0.0,0.0010999999999999899,0.00019999999999997797,-0.0010999999999999899,89.31469999999999,198.2755,0.45045757040078066,0.44
3,13,0.9732,0.9713,0.975,0.9765,0.9755,0.977,pca,pca,pca,0.0,0.006,14.1558,8.801200000000003,61.46590000000001,40.22640000000001,23.51500000000001,115.6575,36,37,53,0.9755,0.977,0.0,0.0,0.0023000000000000798,0.005699999999999927,84.42290000000001,179.39890000000003,0.4705876122986261,0.42
